Kod SZS,Rodzaj stacji,rząd stacji,typ stacji,rok założenia,rok likwidacji,nazwa stacji,długość geograficzna,szerokość geograficzna,informacje dodatkowe
252190180,O,V,Zlikwidowana,2012,2014,ZAMBRZYCA,193716,525933,stację zlikwidowano 1.01.2015
252230250,O,V,Czynna,2018,0,ZAMOSZE,235446,524855,"stacja założona 01.02.2018, 24.05.2018 przeniesiono telemetrię ze stacji NOWE MASIEWO"
350230595,S,II,Czynna,1945,0,ZAMOŚĆ,231220,504154,w 09.2012 stacja przeniesiona  ok. 60 m  na NW od starej lokalizacji (stare wsp. 231223  i 504152)
250230150,O,V,Zlikwidowana,2003,2010,ZAMOŚĆ,231519,504225, 
252170250,O,V,Zlikwidowana,1955,2017,ZANIEMYŚL,170924,520908,stacja zlikwidowana 31.07.2017 – w jej miejsce stacja Luboniec
253170060,O,V,Czynna,1956,0,ZAPĘDOWO,175025,534215, 
251159962,O,V,Zlikwidowana,1949,1979,ZAPUSTA,1521,5102, 
253210260,O,V,Czynna,2005,0,ZARUZIE,214809,530851,ATSO bez obserwatora; 4.05.2016 przeniesienie lokalne
250239986,O,V,Zlikwidowana,1963,1992,ZARZECZE,231000,503900, 
249229998,O,V,Zlikwidowana,1949,1982,ZARZECZE,2232,4959, 
251149999,O,V,Zlikwidowana,1949,1992,ZASIEKI,1440,5145, 
252210070,O,V,Czynna,1963,0,ZATORY,211101,523522,w 03.2013 przeniesiona ok. 600 m na SSE (stare wsp. 211050 i 523543);
250210240,K,IV,Czynna,1981,0,ZAWADA,212936,500350, 
253220220,O,V,Czynna,1949,0,ZAWADY,224024,530925,"ATSO bez obserwatora;  stacja Zawady działała w latach 1949-1981, a następnie wznowiona w roku 2006 z tym samym kodem  w bliskiej lokalizacji"
250180170,O,V,Zlikwidowana,1946,2015,ZAWADZKIE,182850,503628,stację zlikwidowano 1.01.2015
250219998,O,V,Zlikwidowana,1949,2000,ZAWICHOST,215200,504800, 
250199996,O,V,Zlikwidowana,1948,2000,ZAWIERCIE,1925,5030, 
253219998,K,IV,Zlikwidowana,1949,1983,ZAWODZIE,2124,5323, 
249190350,K,IV,Czynna,1956,0,ZAWOJA,193107,493643, 
249199965,O,V,Zlikwidowana,1974,1992,ZAWOJA-PRZYSŁUP,1934,4941, 
249199988,O,V,Zlikwidowana,1946,1995,ZAWOJA I,193200,493900, 
249199976,O,V,Zlikwidowana,1951,1972,ZAWOJA II,1931,4937, 
250190250,K,IV,Zlikwidowana,1946,2009,ZĄBKOWICE,191642,502157, 
250190550,O,V,Zlikwidowana,2009,2015,ZĄBKOWICE,191545,502301,stację zlikwidowano 1.01.2015; w 2011 przeniesiona 1400 m na NW (stare wsp. 191648 i 502239)
250169992,O,V,Zlikwidowana,1947,1980,ZĄBKOWICE ŚLĄSKIE,1649,5036, 
252150190,O,V,Czynna,1949,0,ZBĄSZYŃ,155542,521446, 
253190180,O,V,Czynna,1964,0,ZBICZNO,192232,531950, 
251180020,O,V,Czynna,1951,0,ZBIERSK,180901,515636, 
249210130,O,V,Czynna,1986,0,ZBOISKA,214145,493439, 
250189974,O,V,Zlikwidowana,1946,1992,ZBROSŁAWICE,1845,5025, 
249199964,O,V,Zlikwidowana,1979,1992,ZBYDNIOWICE,1957,4958, 
249209987,K,IV,Zlikwidowana,1974,1997,ZBYSZYCE,204000,494200, 
250219977,O,V,Zlikwidowana,1946,1992,ZDANÓW,2133,5043, 
251189995,O,V,Zlikwidowana,1949,1992,ZDUŃSKA WOLA,185600,513600, 
251199984,O,V,Zlikwidowana,1955,1992,ZELÓW,191300,512800, 
250199978,O,V,Zlikwidowana,1973,1989,ZENDEK,1906,5030, 
252160130,O,V,Czynna,1954,0,ZĘBOWO,160441,522753, 
251209985,O,V,Zlikwidowana,1954,1992,ZGLINNA DUŻA,201100,515100, 
351150405,S,II,Zlikwidowana,2008,2010,ZGORZELEC,150131,510810, 
251150250,K,IV,Zlikwidowana,1947,2007,ZGORZELEC,150131,510810, 
250160530,O,V,Czynna,1946,0,ZIELENIEC,162339,501948, 
250170280,O,V,Zlikwidowana,1949,2015,ZIELINA,174743,502633,stację zlikwidowano 1.01.2015
250180210,O,V,Czynna,1946,0,ZIELONA,185810,503257, 
351150400,S,I,Czynna,1945,0,ZIELONA GÓRA,153129,515548, 
252200160,O,V,Zlikwidowana,1955,2015,ZIELONKI,204911,521505,stację zlikwidowano 1.01.2015
250170160,O,V,Zlikwidowana,1946,2015,ZIĘBICE,170256,503644,stację zlikwidowano 1.01.2015
251180140,O,V,Czynna,1949,0,ZŁOCZEW,183557,512516,"ATSO bez obserwatora; przenies. z poprz. lok. o1,8 km na zach. 09.2012"
252160120,O,V,Czynna,1950,0,ZŁOTNIKI,164955,522901,stacja przeniesiona 01.07.2017 o ok. 130 m w kierunku NE (stare wsp. 164953 i 522859)
251150390,O,V,Czynna,2002,0,ZŁOTNIKI LUBAŃSKIE,152026,510050,w 01.2014 przeniesiona 18 m na NW
251150270,O,V,Zlikwidowana,1946,2015,ZŁOTORYJA,155555,510738,stację zlikwidowano 1.01.2015
250190090,O,V,Czynna,1948,0,ZŁOTY POTOK,192547,504220, 
250160440,O,V,Zlikwidowana,1956,2015,ZŁOTY STOK,165253,502713,stację zlikwidowano 1.01.2015
249190760,O,V,Czynna,2003,0,ZUBRZYCA DOLNA,194045,493009, 
249190490,O,V,Zlikwidowana,1946,2004,ZUBRZYCA GÓRNA,193900,493300, 
254190170,O,V,Zlikwidowana,1948,2015,ZWIERZNO,192029,540220,stację zlikwidowano 1.02.2015
250220110,O,V,Zlikwidowana,1945,2015,ZWIERZYNIEC,225805,503643,stację zlikwidowano 1.01.2015
250229998,O,V,Zlikwidowana,1948,1992,ZWOLAKI,222000,503000, 
251210130,O,V,Zlikwidowana,1948,2010,ZWOLEŃ,213350,512130, 
250180450,O,V,Czynna,1973,0,ZWONOWICE,182628,500844, 
251169995,K,IV,Zlikwidowana,1975,1992,ZYBISZÓW,1655,5104, 
254220020,O,V,Czynna,1963,0,ŻABIN,220217,541917, 
249190420,O,V,Czynna,1946,0,ŻABNICA,191114,493343,stacja przenoszona w 2009 i 2010
252190040,O,V,Czynna,1961,0,ŻABOWO,195515,524933,stację wznowiono 1.06.2015 (przerwa od 1.01.2015)
251150110,O,V,Czynna,1946,0,ŻAGAŃ,151737,513859,"w 2010 przeniesiona ok. 5 km na N; współrzędne starej lokalizacji (151735 i 513610, Hs=115)"
253170250,O,V,Zlikwidowana,2008,2009,ŻALNO,174621,533641, 
252220130,O,V,Zlikwidowana,1948,2015,ŻANECIN,221508,522305,stację zlikwidowano 1.01.2015
250190140,O,V,Czynna,1955,0,ŻARKI,192249,503824, 
249219996,K,IV,Zlikwidowana,1951,1997,ŻARNOWA,214853,495239, 
249210040,O,V,Czynna,1997,0,ŻARNOWA,214859,495240,K zmieniono na O  08.2012 i przesun. wg wspolrz.
251199989,O,V,Zlikwidowana,1955,1994,ŻARNOWICA,195200,512800, 
354180131,S,I,Zlikwidowana,1986,1991,ŻARNOWIEC,1805,5443, 
254170010,O,V,Czynna,1948,0,ŻELAZNO,175123,544326, 
252150170,O,V,Zlikwidowana,1949,2016,ŻELECHÓW,152053,521849,stację zlikwidowano 1.07.2016
253140090,O,V,Czynna,1949,0,ŻELEWO,145158,531730,przeniesiona  w 01.2014
254180040,O,V,Czynna,1946,0,ŻELISTRZEWO,182531,544036, 
252170290,O,V,Czynna,1964,0,ŻERKÓW,173535,520340,w 08.2010 przeniesiona ok. 2 km na E (stare wsp. 173348 i 520349)
251160160,O,V,Zlikwidowana,1947,2014,ŻMIGRÓD,165412,512820,likw. 8.07.2014
251230180,O,V,Zlikwidowana,1948,2015,ŻMUDŹ,234022,510109,stację zlikwidowano 1.01.2015
252170040,O,V,Czynna,1948,0,ŻNIN,174501,525023, 
250180560,O,V,Czynna,1955,0,ŻORY,184112,500308, 
250169960,O,V,Zlikwidowana,1949,1979,ŻÓŁKIEWKA,1619,5059, 
250170010,O,V,Zlikwidowana,1948,2014,ŻÓRAWINA,170310,505842,likw. - 9.07.2014
249220240,K,IV,Czynna,1999,0,ŻUBRACZE,221618,491232, 
249229989,K,IV,Zlikwidowana,1989,1999,ŻUBRACZE,2216,4913, 
252220090,O,V,Zlikwidowana,1983,2015,ŻUROBICE,225541,523126,stację zlikwidowano 1.01.2015
253190270,O,V,Zlikwidowana,1948,2012,ŻUROMIN,195406,530343,przenies. do m. Brudnice
252190120,O,V,Czynna,1955,0,ŻYCHLIN,193723,521434, 
254220010,O,V,Czynna,1963,0,ŻYTKIEJMY,224150,542107, 
249199992,K,IV,Zlikwidowana,1947,1992,ŻYWIEC,191400,494300, 
249199975,O,V,Zlikwidowana,1939,1973,ŻYWIEC,1913,4941, 
